FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
05/01/2016,OCCIDENTE ,BANCO DE OCCIDENTE S.A.,154000000,0.79,4000,38500,38500,38500,38500,19680827,26777.67
05/01/2016,ODINSA    ,ORGANIZACION DE INGENIERIA INTERNACIONAL S.A.,0,0,0,8500,0,0,0,20050119,8726.01
05/01/2016,ORBIS     ,GRUPO ORBIS S.A,0,0,0,19800,0,0,0,19750718,38484.2
05/01/2016,PAZRIO    ,ACERIAS PAZ DEL RIO S.A.,0,0,0,7.79,0,0,0,19520101,23.9
05/01/2016,PFAVAL    ,GRUPO AVAL ACCIONES Y VALORES S.A.,1176310125,3.85,1108462,1080,1080,1061.21,1040,20110512,1070.85
05/01/2016,PFAVH     ,AVIANCA HOLDINGS S.A,256920950,0.59,152227,1695,1695,1687.75,1665,20110511,6107.98
05/01/2016,PFBBVACOL ,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,0,0,0,295,0,0,0,19931108,284.2
05/01/2016,PFBCOLOM  ,BANCOLOMBIA S.A.,1948107300,2.26,90143,21760,21760,21611.3,21000,19950726,22925.5
05/01/2016,PFCARPAK  ,CARVAJAL EMPAQUES S.A,0,0,0,1860,0,0,0,20120502,3805.74
05/01/2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,848708450,-1.73,92495,9100,9240,9175.72,9020,20130413,6196.02
05/01/2016,PFCORFICOL,CORPORACION FINANCIERA COLOMBIANA S.A.,15780680,0.74,482,32740,32740,32740,32740,19930208,21634.61
05/01/2016,PFDAVVNDA ,BANCO DAVIVIENDA S.A,3977264060,2.46,185902,21700,21720,21394.41,21000,20101005,21797.35
05/01/2016,PFGRUPOARG,GRUPO ARGOS S.A.,34130400,4.49,2275,15360,15360,15002.37,14720,20120608,26989.27
05/01/2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,1151793300,-0.82,34163,33700,33800,33714.64,33700,20111103,43597.61
05/01/2016,PFVILLA051,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20050914,6116.74
05/01/2016,PFVILLA053,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,5014.36,0,0,0,20050929,6116.74
05/01/2016,PFVILLAS  ,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,6000,0,0,0,20000215,6116.74
